Generations,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
250,202.37576373631532,198.66818192804408,199.13491344815367,196.16673415810976,196.63681800123717,198.36342095404203,197.86653671968241,195.84625352190068,200.24348647437978,197.65234327846645
260,199.3791927865348,202.15256365319064,196.24676605391468,201.31447148131068,197.93828982133857,203.17328636395553,200.54516396245904,202.7303046020452,193.24584569983355,200.27669479374515
270,193.06717075234965,202.13375947259442,203.7332100001791,196.01738498803897,194.18277262418246,201.68826929773638,205.74690676556574,199.37335424809734,195.56136069518666,199.50250973297884
280,203.19782822492465,201.50423413778591,199.93234755379288,204.04177276143346,211.52468310707386,195.24532707608603,196.20656216163178,196.89469988266774,195.4801474990388,204.78297226013802
290,197.33542305904655,198.8824813316677,195.9473746863351,201.03232970701612,203.334850786082,196.9038833382799,198.8524158474293,202.41311887688218,200.99864034169232,197.1590774607918
300,199.20857591928882,202.1564448048634,203.71287835808565,197.26885221333075,201.86539002842235,202.67516119076225,200.89699536579633,193.81585614751717,198.80703770048876,206.6576349197213
310,201.9099684281482,204.09094525634447,200.92958240986474,200.14413491975336,196.19860154273664,199.4950743227048,197.16254621272913,197.00196464018543,199.09546492032362,203.2194392834469
320,196.38504273475277,206.77730357182008,199.13751658442808,203.69594809440002,194.5267536609959,196.08483833628705,201.20144973400699,204.1258208355685,194.00848837421896,198.7879428087816
330,199.74284015363855,199.22946512034602,202.00336593062968,201.2221686278577,199.90424960607726,202.33686688109398,193.86484548096908,198.45033231047623,199.018975563084,199.6037132917564
340,202.9863355466985,196.12538715184004,201.46753728001582,200.38137530234172,201.33884504919249,205.0674046203077,194.88531202476935,199.68135059995004,197.85128699526922,204.61167383394644
350,197.55351052832026,202.14606811184643,197.9569637971064,208.34037282202348,206.58684839009445,196.44934390695576,200.54234451618035,206.65832840695938,201.02284745164206,200.97018139376158
360,197.1510125969983,202.96842308202633,195.8973349911052,197.85527804826592,198.8963116368112,207.06473154612405,205.1213747502039,200.05367805241903,198.0182858156962,198.066553636862
